col,equivalente,n
Notas/Apuntes/Calendarios/Libretas,Notas/Apuntes/Calendarios/Libretas,148
Google Calendar,Notas/Apuntes/Calendarios/Libretas,60
Ninguno,Ninguno,36
Trello,Trello,34
Notion,Notion,20
Microsoft OneNote,Microsoft OneNote,19
Jira,Jira,5
Microsoft To Do,Microsoft To Do,2
Google Keep,Google Keep,2
lapiz y papel,Notas/Apuntes/Calendarios/Libretas,1
excel,Excel,1
Recordatorios,Notas/Apuntes/Calendarios/Libretas,1
Otras herramientas de organizacion de internet,Otros,1
Asana,Otros,1
No,Ninguno,1
Calendario interactivo,Notas/Apuntes/Calendarios/Libretas,1
Mi agenda en físico,Notas/Apuntes/Calendarios/Libretas,1
Mentalmente,Otros,1
Excel,Excel,1
Clickup,Otros,1
ninguan,Ninguno,1
