col,equivalente,n
Sistema de registro (Falta de cupos y Apertura de secciones),Sistema de registro,164
Docentes,Docentes,128
Campus Virtual,Campus Virtual,97
Malas relaciones con compañeros,Con Compañeros,49
Campus Universitario(Instalaciones Físicas),Instalaciones Físicas,43
Integridad Personal (Daños y perjuicios hacia su persona),Integridad Personal,18
No malas experiencias,No malas experiencias,10
Asaltos,Integridad Personal,1
Salud mental,Salud mental,1
problemas de transporte.,Problemas de Transporte,1
carga emocional dañina,Salud mental,1
"Si es una pregunta de ""en caso"" favor de no colocarla como obligatoria",No malas experiencias,1
Ninguna,No malas experiencias,1
Problemas de salud graves,Salud mental,1
Problemas de autoestima por diversas situaciones personales,Salud mental,1
Nada,No malas experiencias,1
Mucho tráfico,Problemas de Transporte,1
Maestros,Docentes,1
uno no llega puntual,No malas experiencias,1
